product_id,name,description,condition,merchant_id,product_category_id
5a6d7a01-1111-4d57-92dc-001100220001,Mouse Gaming RGB,Mouse gaming DPI tinggi,New,7b8d7a01-1111-4d57-92dc-001100330001,9c0d7a01-1111-4d57-92dc-001100440001
5a6d7a01-1111-4d57-92dc-001100220002,Keyboard Mechanical,Switch blue tactile,New,7b8d7a01-1111-4d57-92dc-001100330001,9c0d7a01-1111-4d57-92dc-001100440002
5a6d7a01-1111-4d57-92dc-001100220003,Headset Wireless,Latency rendah untuk gaming,New,7b8d7a01-1111-4d57-92dc-001100330002,9c0d7a01-1111-4d57-92dc-001100440001
5a6d7a01-1111-4d57-92dc-001100220004,Monitor 144Hz,Refresh rate tinggi untuk gaming,New,7b8d7a01-1111-4d57-92dc-001100330002,9c0d7a01-1111-4d57-92dc-001100440002
5a6d7a01-1111-4d57-92dc-001100220005,SSD 1TB,Kecepatan baca/tulis tinggi,New,7b8d7a01-1111-4d57-92dc-001100330003,9c0d7a01-1111-4d57-92dc-001100440003
5a6d7a01-1111-4d57-92dc-001100220006,Power Bank 20000mAh,Kapastias besar untuk pengisian cepat,New,7b8d7a01-1111-4d57-92dc-001100330003,9c0d7a01-1111-4d57-92dc-001100440004
5a6d7a01-1111-4d57-92dc-001100220007,Smartphone 5G,Performa tinggi dengan konektivitas 5G,New,7b8d7a01-1111-4d57-92dc-001100330004,9c0d7a01-1111-4d57-92dc-001100440005
5a6d7a01-1111-4d57-92dc-001100220008,Tablet 10 inch,Layar besar untuk produktivitas,New,7b8d7a01-1111-4d57-92dc-001100330004,9c0d7a01-1111-4d57-92dc-001100440006
5a6d7a01-1111-4d57-92dc-001100220009,Smartwatch Fitness,Monitor kesehatan dan kebugaran,New,7b8d7a01-1111-4d57-92dc-001100330005,9c0d7a01-1111-4d57-92dc-001100440007
5a6d7a01-1111-4d57-92dc-001100220010, Laptop Gaming,Performa tinggi untuk gaming,New,7b8d7a01-1111-4d57-92dc-001100330006,9c0d7a01-1111-4d57-92dc-001100440008
